N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass
-3;9;12;21;Mg;10903.85;0.755;7.105031;0.036;-16086;596;21;19572.280028265537;0.0007545102240131999;0;0;149.20565100000002;7.1072557018405105;149.2523697386507;-0.002224701840510157;-0.04671873865069642;19572.23332705714;19572.28004579579;-1.7530252080177888e-05;10903.8501455364;-0.00014553639994119294;7.105031834773919;-8.347739184344505e-07;0.00548057821903994;19566.10682022708;19566.153521435477;0.046701208397280425
-5;8;13;21;Al;26990.0;596;6.302;28;*;;21;19588.366219775286;0.5961562263807999;0;0;132.34199999999998;5.961692842436819;125.1955496911732;0.3403071575631804;7.146450308826786;19595.507800502033;19588.361350193205;0.004869582080573309;26990.04165528615;-0.041655286149762105;6.301768115139047;0.00023188486095282457;0.006636320783722985;19588.87145046385;19581.7298697371;-7.141580726747634
-2;10;12;22;Mg;-399.933;0.313;7.662761000000001;0.014;-18601;401;21;20492.470348572544;0.0003120505247462;-1;1;168.58074200000001;7.706595633929049;169.54510394643907;-0.043834633929048294;-0.9643619464390554;20491.506014564908;20492.470376511348;-2.7938804123550653e-05;-399.9332674563849;0.00026745638490410784;7.6627622699455635;-1.2699455629316958e-06;0.00548057821903994;20485.379507734848;20486.343841742484;0.9643340076363529
-4;9;13;22;Al;18201.0;401;6.782;18;-15137;643;22;20511.07167662669;0.40054246459959997;1;-1;149.204;6.614031483950914;145.5086926469201;0.16796851604908625;3.6953073530798974;20514.760079261847;20511.064771908765;0.006904717924044235;18201.394786688077;-0.3947866880771471;6.781686149185341;0.0003138508146589558;0.006636320783722985;20508.123729223662;20504.435326588504;-3.688402635158127
-6;8;14;22;Si;33338.0;503;6.058;23;*;;22;20526.20845581214;0.5030068160088;-1;1;133.276;5.579143100177808;122.74114820391176;0.47885689982219226;10.534851796088248;20536.74527710227;20526.21042530618;-0.0019694940419867635;33338.17397213755;-0.17397213754884433;6.058089522456529;-8.952245652960045e-05;0.00792266880742038;20529.599214461417;20519.062393171287;-10.53682129013032
-3;10;13;23;Al;6748.07;0.345;7.335726999999999;0.015;-16949;503;23;21431.112455801776;0.0003446528183764;0;0;168.72172099999997;7.304324990127756;167.99947477293838;0.0314020098722434;0.7222462270615893;21431.834718851384;21431.11247262432;-1.6822545148897916e-05;6748.07024177538;-0.0002417753803456435;7.335727731415081;-7.314150813897413e-07;0.006636320783722985;21425.1983688132;21424.47610576359;-0.722263049607136
-5;9;14;23;Si;23697.0;503;6.565;22;*;;23;21448.061595558636;0.5030068160088;0;0;150.995;6.312339816760126;145.1838157854829;0.2526601832398745;5.811184214517112;21453.86803123626;21448.056847021744;0.004748536892293487;23697.209998636506;-0.20999863650649786;6.564793541874204;0.00020645812579633827;0.00792266880742038;21446.721968595408;21440.915532917785;-5.806435677623085
-4;10;14;24;Si;10745.195;19.472;7.167232;0.811;-22574;503;24;22366.60368455531;0.019471952744162878;-1;1;172.01356800000002;7.0685851716215895;169.64604411891816;0.09864682837841077;2.3675238810818655;22368.971224618384;22366.603700737305;-1.6181995306396857e-05;10745.195275309456;-0.0002753094559011515;7.167232674249742;-6.742497413725346e-07;0.00792266880742038;22361.825161977533;22359.45762191446;-2.367540063074557
-6;9;15;24;P;33320.0;503;6.194;21;*;;24;22389.178033370063;0.5030068160088;1;-1;148.656;5.76397676031085;138.3354422474604;0.4300232396891497;10.3205577525396;22399.49947988726;22389.178922134724;-0.000888764661794994;33319.54409006385;0.4559099361504195;6.194037031860868;-3.703186086845278e-05;0.009343503622477316;22391.84383913053;22381.522392613333;-10.321446517198638
-3;11;14;25;Si;3827.324;10.000;7.48011;0.400;-15911;401;25;23291.179916904857;0.0099995892034342;0;0;187.00275;7.463293015532927;186.58232538832317;0.016816984467072693;0.42042461167682177;23291.60036506454;23291.179940452865;-2.354800744797103e-05;3827.3239048564565;9.514354360362631e-05;7.480110941920284;-9.419202839922036e-07;0.00792266880742038;23284.45430242369;23284.033854264006;-0.42044815968256444
-5;10;15;25;P;19738.0;401;6.812;16;*;;25;23307.090953057825;0.40054246459959997;0;0;170.3;6.590687065051519;164.76717662628798;0.22131293494848148;5.532823373712034;23312.633167223998;23307.100343850285;-0.009390792460180819;19738.36005782415;-0.3600578241494077;6.812375631698378;-0.000375631698378065;0.009343503622477316;23304.977526467268;23299.435312301095;-5.542214166172926
-2;12;14;26;Si;-7141.015;0.108;7.924708;0.004;-18114;196;25;24211.70568034804;0.0001071218219278;-1;1;206.042408;7.923084274469451;206.00019113620573;0.001623725530548903;0.042216863794266146;24211.74792103222;24211.705704168424;-2.3820382921257988e-05;-7141.0163719574675;0.001371957467199536;7.924708916168618;-9.16168618303459e-07;0.00792266880742038;24204.60185839137;24204.55961770719;-0.04224068417897797
-4;11;15;26;P;10973.0;196;7.198;8;-16106;627;26;24229.81969726182;0.1956137617812;1;-1;187.14800000000002;7.066289160560732;183.72351817457903;0.1317108394392683;3.4244818254209974;24233.242247391267;24229.817765565844;0.0019316959769639652;10973.000541819854;-0.0005418198543338804;7.197925704000927;7.429599907382567e-05;0.009343503622477316;24225.586606634537;24222.16405650509;-3.422550129445881
-6;10;16;26;S;27079.0;596;6.548;23;*;;26;24245.925230315137;0.5961562263807999;-1;1;170.248;6.277894429511071;163.22525516728786;0.270105570488929;7.022744832712135;24252.958163795975;24245.93541896326;-0.010188648124312749;27078.53359513785;0.4664048621489201;6.548391871081689;-0.0003918710816890325;0.010902553073669722;24244.793083138007;24237.76014965717;-7.032933480837528
11;19;8;27;O;44670.0;500;6.185;19;19220;634;27;25195.01060018389;0.50021233369764;0;0;166.99499999999998;5.401087791495201;145.82937037037044;0.7839122085047983;21.165629629629535;25216.178243129096;25195.012613499468;-0.002013315577642061;44669.79974389092;0.20025610907759983;6.1850745672435785;-7.456724357890465e-05;0.002079299964760251;25212.09233082354;25190.924687878334;-21.167642945205444
