N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass
-2;14;16;30;S;-14059.254;0.206;8.1227081;0.0069;-18733.8020;23.8769;29;27930.76385684891;0.00020586019692211998;-1;1;243.68124300000002;8.070255621260669;242.10766863782007;0.052452478739331454;1.5735743621799543;27932.33743718768;27930.7638628255;-5.9765916375909e-06;-14059.254751091225;0.0007510912237194134;8.12270829921969;-1.9921968963387826e-07;0.010902553073669722;27924.172356529714;27922.598776190942;-1.5735803387724445
-2;21;23;44;V;-23808.079;7.265;8.2034567;0.1651;-10386.1805;51.7447;43;40961.93248445865;0.007264722514912279;1;-1;360.9520948;8.216578707374293;361.52946312446886;-0.013122007374292366;-0.5773683244688641;40961.355120500804;40961.932488825274;-4.366622306406498e-06;-23808.079221350083;0.00022135008111945353;8.203456799241394;-9.924139376948915e-08;0.025974141262878874;40949.6281187762;40950.20548273405;0.5773639578474103
-2;22;24;46;Cr;-29471.57;11.453;8.3038233;0.2490;-17053.8226;87.3828;45;42819.25720029608;0.0114527200052374;-1;1;381.9758718;8.309873019289592;382.25415888732124;-0.0060497192895923035;-0.27828708732124596;42818.97892156649;42819.25720865381;-8.35773244034499e-06;-29471.57082391852;0.0008239185190177523;8.30382348168986;-1.816898613782314e-07;0.028759666096020087;42806.743706416026;42807.02198514561;0.2782787295873277
-2;23;25;48;Mn;-29296.644;6.699;8.2741924;0.1396;-11288.0685;92.4609;47;44682.420333945316;0.006698374099850519;1;-1;397.1612352;8.245247257957708;395.77186838196997;0.028945142042292815;1.3893668180300551;44683.809708900386;44682.420342082354;-8.137038093991578e-06;-29296.644614685087;0.0006146850864752196;8.27419256952165;-1.6952165005079678e-07;0.031712363399773874;44671.06644749654;44669.67707254147;-1.3893749550697976
-2;24;26;50;Fe;-34476.46;8.383;8.3540268;0.1677;-16887.0566;126.0308;49;46540.22872623311;0.008383446933480001;-1;1;417.70133999999996;8.321828417611421;416.09142088057104;0.03219838238857875;1.6099191194289233;46541.83865323032;46540.22873411089;-7.877781172282994e-06;-34476.45976688861;-0.0002331113864784129;8.354026957555616;-1.5755561655339534e-07;0.034835114995858;46528.587515627376;46526.977588630165;-1.609926997211005
-2;25;27;52;Co;-34343.979;5.282;8.325560600000001;0.1016;-11784.1230;83.0710;51;48403.34941449052;0.005280640073988679;1;-1;432.92915120000004;8.259440773479426;429.49092022093015;0.06611982652057513;3.4382309790698855;48406.78765071849;48403.349419739425;-5.24890492670238e-06;-34343.97894948013;-5.051986954640597e-05;8.325560700940445;-1.009404435592387e-07;0.038130760539189984;48393.02880981041;48389.590573582434;-3.4382362279720837
15;35;20;55;Ca;-18650.375;160.217;8.125926;2.9130;12191.7329;171.9435;54;51213.52532965531;0.16021698583983998;0;0;446.92593;7.964431855603009;438.0437520581655;0.1614941443969906;8.88217794183447;51222.40751024601;51213.52533230418;-2.6488705771043897e-06;-18650.374944685962;-5.531403803615831e-05;8.12592604816124;-4.816124032913649e-08;0.018591031013663304;51212.206122263226;51203.32394167253;-8.882180590699136
16;36;20;56;Ca;-13510.39;249.640;8.0331654;4.4579;12005.4580;360.2029;55;52150.15941783964;0.24964041979696;-1;1;449.85726239999997;7.882965075101116;441.4460442056625;0.15020032489888369;8.411218194337494;52158.570639814076;52150.15942161973;-3.7800928112119436e-06;-13510.390480357015;0.00048035701547632925;8.033165467501671;-6.75016718076904e-08;0.018591031013663304;52148.36925183129;52139.958029856854;-8.411221974434739
16;37;21;58;Sc;-15479.569;190.025;8.0549436;3.2763;15438.0995;264.0509;57;54011.17844674438;0.19002479715888;1;-1;467.18672879999997;7.940562885566072;460.55264736283215;0.11438071443392772;6.634081437167822;54017.81253348545;54011.17845204828;-5.303903890307993e-06;-15479.569015620013;1.5620013073203154e-05;8.054943691446608;-9.144660850779474e-08;0.020892837153015268;54007.102448358106;54000.46836161704;-6.634086741069041
14;36;22;58;Ti;-30917.668;183.340;8.307629;3.1610;9512.9152;206.8675;57;53995.74034691476;0.18333946397648154;-1;1;481.842482;8.276711072969471;480.04924223222935;0.030917927030529313;1.7932397677706717;53997.53359201347;53995.740352245695;-5.330934072844684e-06;-30917.66884523712;0.0008452371184830554;8.307629091912657;-9.191265704089346e-08;0.02335285937035907;53986.31496795765;53984.521722858946;-1.793245098706393
16;38;22;60;Ti;-22099.698;240.325;8.1527858;4.0054;10987.7040;301.4311;59;55867.546525589234;0.24032547875976;-1;1;489.167148;8.092644080043852;485.55864480263114;0.06014171995614781;3.6085031973688615;55871.15503287418;55867.54652967681;-4.087574779987335e-06;-22099.697610762578;-0.0003892374224960804;8.152785868126253;-6.812625308327824e-08;0.02335285937035907;55859.936408818365;55856.32790153342;-3.6085072849455173
16;39;23;62;V;-25213.164;264.287;8.1877565;4.2627;15639.4478;264.3094;61;57727.42126615123;0.26428630158974953;1;-1;507.64090300000004;8.128809819101592;503.9862087842987;0.05894668089840849;3.6546942157013405;57731.07596572105;57727.42127150535;-5.354122549761087e-06;-25213.164488774648;0.000488774647237733;8.187756586356807;-8.635680615043384e-08;0.025974141262878874;57719.34896399645;57715.694264426624;-3.6546995698226965
17;40;23;63;V;-21740.141;339.995;8.1307809;5.3968;14438.1586;347.6720;62;58662.38839347328;0.3399953478578;0;0;512.2391967;8.063499560247138;508.0004722955697;0.06728133975286177;4.238724404430286;58666.62712392534;58662.38839952091;-6.04763044975698e-06;-21740.140886721078;-0.00011327892207191326;8.130780995994138;-9.599413886007824e-08;0.025974141262878874;58654.900122200735;58650.661391748676;-4.238730452059826
16;43;27;70;Co;-46524.963;10.992;8.434198;0.1570;12688.9049;11.1987;69;65158.06229699914;0.010991630423896;1;-1;590.39386;8.3809685326498;586.6677972854859;0.053229467350201176;3.7260627145141143;65161.788364534026;65158.06230181952;-4.820380127057433e-06;-46524.96340085986;0.00040085985529003665;8.434198068862523;-6.886252279514338e-08;0.038130760539189984;65148.02952362594;65144.30345609105;-3.7260675348879886
1;37;36;73;Kr;-56551.758;6.578;8.4601847;0.0901;-10540.1468;41.3212;72;67942.5178128074;0.00657727986636692;0;0;617.5934831;8.472181288563544;618.4692340651387;-0.011996588563544464;-0.8757509651387636;67941.64207347782;67942.51782444296;-1.1635551345534623e-05;-56551.75875260233;0.0007526023255195469;8.460184859391182;-1.5939118291896648e-07;0.07602551897768679;67923.32213677197;67924.19787610155;0.8757393295818474
19;48;29;77;Cu;-48862.828;1.211;8.4112501;0.0157;9926.3750;2.3148;76;71676.18315820613;0.001210942334836;0;0;647.6662577;8.302840710427825;639.3187347029425;0.10840938957217539;8.347522997057467;71684.53068592033;71676.18316292328;-4.717148840427399e-06;-48862.82823387247;0.0002338724661967717;8.411250161261611;-6.126161089525795e-08;0.04525191164001009;71669.75696826195;71661.40944054775;-8.347527714198804
21;50;29;79;Cu;-42408.039;104.979;8.320938;1.3289;11024.2629;105.0030;78;73545.62615496934;0.104979385489244;0;0;657.354102;8.169854614276717;645.4185145278607;0.1510833857232825;11.935587472139332;73557.56174952652;73545.62616205438;-7.085036486387253e-06;-42408.038910648866;-8.93511314643547e-05;8.320938089683974;-8.968397402497885e-08;0.04525191164001009;73542.78803186814;73530.85243731097;-11.935594557173317
22;53;31;84;Ga;-44094.136;29.808;8.307525;0.3549;14054.2989;29.9760;83;78201.41057609221;0.02980781131904;1;-1;697.8321;8.192226859464725;688.1470561950368;0.1152981405352751;9.68504380496313;78211.09562323199;78201.41057942703;-3.3348187571391463e-06;-44094.136387792576;0.0003877925773849711;8.307525039700218;-3.9700218223970296e-08;0.053097876708818555;78195.3077536373;78185.62270649752;-9.685047139777453
23;54;31;85;Ga;-39744.059;37.260;8.2535687;0.4384;13379.3679;37.4459;84;79137.25475727658;0.037259764148799994;0;0;701.5533395000001;8.144140468791813;692.2519398473041;0.10942823120818801;9.301399652695977;79146.55616129527;79137.25476164259;-4.3660111259669065e-06;-39744.058923429315;-7.657068636035547e-05;8.253568751364774;-5.1364773767659244e-08;0.053097876708818555;79130.76829170059;79121.46688768189;-9.301404018697212
3;46;43;89;Tc;-67394.857;3.819;8.450575800000001;0.0429;-9025.4327;24.5181;88;82835.58037422733;0.0038191258252519996;0;0;752.1012462000001;8.431150903242935;750.3724303886212;0.019424896757065824;1.7288158113789223;82837.30919838524;82835.58038257385;-8.346527465619147e-06;-67394.85685267118;-0.00014732882846146822;8.450575893781288;-9.378128673631636e-08;0.11659681669254933;82815.45284032225;82813.72401616434;-1.7288241579080932
2;47;45;92;Rh;-62999.095;4.378;8.3734211;0.0476;-8220.0000;345.0000;91;85634.45844611703;0.004378022287484;1;-1;770.3547412;8.320289060434295;765.4665935599551;0.053132039565705114;4.888147640044963;85639.34660715543;85634.45845951537;-1.3398341252468526e-05;-62999.09612297527;0.0011229752708459273;8.37342124563419;-1.4563419092894492e-07;0.13011643114154953;85616.48177080552;85611.59360976712;-4.888161038397811
3;48;45;93;Rh;-69011.81;2.629;8.4348255;0.0283;-10030.0000;370.0000;92;86559.939835506;0.0026277448665941202;0;0;784.4387715;8.383026411031452;779.621456225925;0.0517990889685489;4.817315274074986;86564.757166205;86559.93985093092;-1.5424928278662264e-05;-69011.81045399731;0.00045399731607176363;8.434825665859496;-1.6585949502712083e-07;0.13011643114154953;86541.8923298551;86537.07499915609;-4.817330699006561
3;50;47;97;Ag;-70904.027;12.016;8.4232121;0.1239;-10170.0000;420.0000;96;90284.02403375658;0.012016273937988;0;0;817.0515737000001;8.333141218854868;808.3146982289222;0.09007088114513273;8.736875471077838;90292.76091785908;90284.024042388;-8.631424861960113e-06;-70904.02708342206;8.342205546796322e-05;8.42321218898371;-8.898370928989152e-08;0.14453277012503518;90268.88849994677;90260.15161584427;-8.73688410250179
27;64;37;101;Rb;-42567.417;20.493;8.2061753;0.2029;12757.4969;22.1781;100;94038.3370581682;0.02049287028184;0;0;828.8237053;8.167518489535848;824.9193674431206;0.03865681046415226;3.904337856879465;94042.24140153294;94038.33706367605;-5.507856258191168e-06;-42567.417551798026;0.0005517980243894272;8.206175354533277;-5.4533277449309026e-08;0.08120027944291754;94023.41564063686;94019.51129727211;-3.9043433647457277
5;53;48;101;Cd;-75836.466;1.490;8.4503657;0.0148;-7291.5642;11.7569;100;94005.06800944201;0.001490390565952;0;0;853.4869357000001;8.38895265026411;847.2842176766752;0.06141304973589001;6.2027180233249055;94011.270738671;94005.06802064767;-1.1205658665858209e-05;-75836.466277995;0.0002779950009426102;8.450365810947105;-1.1094710394843332e-07;0.15208417142048256;93986.8948732093;93980.69214398031;-6.202729228985845
3;52;49;101;In;-68544.901;11.662;8.370426;0.1155;-8239.2770;300.2313;100;94012.35957389101;0.01166137468447068;0;0;845.4130260000001;8.281735098219368;836.4552449201561;0.0886909017806321;8.957781079843926;94021.31736482492;94012.35958374508;-9.854076779447496e-06;-68544.90182898761;0.0008289876132039353;8.370426097565064;-9.756506358371553e-08;0.15986815986056743;93996.43828440097;93987.48049346705;-8.957790933913202
