N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass
-7;11;18;29;Ar;37969.0;439;6.276;15;*;;29;27051.29763904173;0.43873372285212;0;0;182.004;6.363950316257021;184.5545591714536;-0.08795031625702077;-2.5505591714536138;27048.76042685975;27051.310986031203;-0.013346989471756388;37968.63116173076;0.36883826924167806;6.276460241016296;-0.000460241016296159;0.014449546519146466;27039.57689529385;27042.11410747583;2.537212181981886
-7;12;19;31;K;34260.0;300;6.487;10;*;;31;28910.57756845482;0.29994110139783997;0;0;201.097;6.582255698673148;204.04992665886758;-0.09525569867314765;-2.952926658867568;28907.61355596055;28910.566482619415;0.011085835405538091;34260.35313482184;-0.35313482183846645;6.486642392406323;0.00035760759367686745;0.016444329755885077;28897.921020227193;28900.885032721464;2.964012494270719
-7;13;20;33;Ca;31030.0;400;6.657;12;*;;33;30770.335354343115;0.39961097049587996;0;0;219.681;6.763021878838208;223.17972200166085;-0.10602187883820768;-3.4987220016608376;30766.83225720597;30770.33097920763;0.004375135486043291;31029.9315831161;0.06841688389977207;6.656867420136802;0.00013257986319814563;0.018591031013663304;30756.630869223183;30760.13396636033;3.5030971371452324
-7;14;21;35;Sc;27100.0;400;6.828;11;*;;35;32629.39358815952;0.39961097049587996;0;0;238.98000000000002;6.913875961682615;241.98565865889154;-0.08587596168261502;-3.0056586588915195;32626.374817136955;32629.380475795846;0.013112363674736116;27099.95795952227;0.042040477728733094;6.827625361037852;0.0003746389621479551;0.020892837153015268;32615.66473200962;32618.683503032185;3.0187710225654882
-7;15;22;37;Ti;25170.0;400;6.926;11;*;;37;34490.45173981661;0.39961097049587996;0;0;256.262;7.04054198676347;260.5000535102484;-0.11454198676347005;-4.238053510248392;34486.20891887381;34490.44697238406;0.004767432554217521;25169.902176616015;0.09782338398508728;6.925871150471574;0.00012884952842640018;0.02335285937035907;34474.990294817995;34479.2331157608;4.242820942803519
16;27;11;38;Na;61905.0;715;6.216;19;27831;875;38;35458.68117650502;0.71538747165696;1;-1;236.208;5.9498519798078595;226.09437523269867;0.2661480201921407;10.113624767301332;35468.78583593854;35458.672211171244;0.00896533377817832;61905.235145021186;-0.23514502118632663;6.215764070163698;0.00023592983630216224;0.004451384507546654;35463.16929886546;35453.06463943194;-10.104659433520283
17;28;11;39;Na;69977.0;743;6.056;19;27201;903;39;36398.24667663375;0.7424008006648399;0;0;236.184;5.778332225648514;225.35495680029203;0.27766777435148615;10.829043199707968;36409.09067616475;36398.26163296504;-0.014956331287976354;69976.63155375553;0.3684462444653036;6.056383495674079;-0.00038349567407891527;0.004451384507546654;36403.47413909167;36392.63013956067;-10.84399953099637
-7;16;23;39;V;22570.0;400;7.031;10;*;;39;36350.84014721313;0.39961097049587996;0;0;274.209;7.147392692573808;278.7483150103785;-0.11639269257380835;-4.539315010378516;36346.30915396189;36350.84846897227;-0.008321759138198104;22570.102133131644;-0.10213313164422289;7.031213378439507;-0.00021337843950686164;0.025974141262878874;36334.582152237286;36339.113145488525;4.530993251239124
17;29;12;41;Mg;58100.0;500;6.425;12;23510;640;41;38249.35833425133;0.50021233369764;0;0;263.425;6.173964003802418;253.13252415589912;0.2510359961975821;10.292475844100892;38259.661605397356;38249.369129553255;-0.01079530192509992;58100.0817313284;-0.08173132839874597;6.425263300047025;-0.00026330004702490584;0.00548057821903994;38253.5350985673;38243.231827421274;-10.303271146025509
-7;17;24;41;Cr;20410.0;400;7.116;10;*;;41;38211.668219826606;0.39961097049587996;0;0;291.756;7.237821657431309;296.75068795468366;-0.12182165743130913;-4.994687954683684;38206.655277605794;38211.64996556048;0.01825426612776937;20409.967306605005;0.032693394994566916;7.115554773996913;0.0004452260030864963;0.028759666096020087;38194.42006245533;38199.43300467614;5.012942220811965
-7;18;25;43;Mn;17370.0;400;7.213;9;*;;43;40071.616030512065;0.39961097049587996;0;0;310.159;7.314500005137179;314.5235002208987;-0.10150000513717927;-4.364500220898719;40067.2309619278;40071.5954621487;0.020568363361235242;17369.570552061534;0.4294479384661827;7.212521665968335;0.0004783340316647511;0.031712363399773874;40054.487700523954;40058.87276910822;4.385068584262626
18;35;17;52;Cl;22360.0;700;7.386;13;23739;922;52;48460.052977905696;0.6995520718937199;1;-1;384.072;7.294058729540857;379.29105393612457;0.09194127045914335;4.780946063875433;48464.810980352006;48460.03003428813;0.02294361756503349;22359.58446569294;0.4155343070597155;7.38555877658529;0.0004412234147102012;0.012603409759019047;48456.13660160003;48451.37859915372;-4.758002446309547
18;36;18;54;Ar;12560.0;800;7.578;15;17710;894;54;50313.241867374556;0.80015343509548;-1;1;409.212;7.5204155949378055;406.1024421266415;0.057584405062194755;3.109557873358483;50316.348088749706;50313.23853087635;0.0033364982082275674;12560.266494558873;-0.2664945588730916;7.577938212996135;6.17870038652768e-05;0.014449546519146466;50307.16455718381;50304.05833580866;-3.1062213751501986
19;38;19;57;K;14130.0;600;7.563;11;20689;721;57;53109.29374609933;0.5998822027956799;0;0;431.091;7.52739115155022;429.06129563836254;0.03560884844977963;2.029704361637471;53111.30315361999;53109.273449258355;0.020296840972150676;14129.834059328876;0.16594067112418998;7.56264391507067;0.00035608492932936997;0.016444329755885077;53101.61061788664;53099.601210365974;-2.0094075206652633
20;39;19;58;K;21930.0;700;7.437;12;23461;860;58;54048.588181443876;0.6995520718937199;1;-1;431.346;7.383485815346889;428.24217729011957;0.05351418465311131;3.1038227098804327;54051.68769376205;54048.58387105217;0.0043103917050757445;21930.165683876738;-0.165683876737603;7.436925682901597;7.431709840322043e-05;0.016444329755885077;54041.995158028694;54038.89564571052;-3.099512318171037
21;40;19;59;K;28750.0;800;7.332;14;22940;1000;59;54986.90175349721;0.80015343509548;0;0;432.58799999999997;7.284437170481235;429.78179305839285;0.04756282951876489;2.8062069416071154;54989.71349978758;54986.907292845965;-0.005539348756428808;28749.634017208497;0.3659827915034839;7.332093887267115;-9.388726711545559e-05;0.016444329755885077;54980.02096405422;54977.209217763855;-2.811746290368319
19;39;20;59;Ca;5810.0;600;7.708;10;16639;650;59;54963.9618482049;0.5998822027956799;0;0;454.772;7.6687350357229445;452.45536710765373;0.039264964277055725;2.316632892346263;54966.25757873892;54963.94094584658;0.020902358315652236;5809.728724900443;0.2712750995569877;7.707645722740366;0.00035427725963455003;0.018591031013663304;54956.056190756135;54953.76046022211;-2.2957305340241874
20;40;20;60;Ca;11000.0;700;7.627;12;15550;860;60;55900.64623707083;0.6995520718937199;-1;1;457.62;7.577743368808355;454.6646021285013;0.04925663119164447;2.9553978714986897;55903.61376551188;55900.658367640375;-0.01213056954293279;11000.013870835646;-0.013870835646230262;7.627202176159092;-0.00020217615909245978;0.018591031013663304;55893.412377529094;55890.444849088046;-2.9675284410477616
21;41;20;61;Ca;19010.0;800;7.503;13;18510;1000;61;56840.150258588714;0.80015343509548;0;0;457.683;7.4415163221601945;453.9324956517719;0.06148367783980557;3.7505043482281053;56843.91129378242;56840.160789434194;-0.010530845480388962;19009.931668714227;0.06833128577272873;7.503172636811109;-0.00017263681110879503;0.018591031013663304;56833.70990579963;56829.94887060593;-3.7610351937037194
20;41;21;62;Sc;7310.0;600;7.688;10;19510;721;62;57759.94479636599;0.5998822027956799;1;-1;476.656;7.6668912705540695;475.3472587743523;0.02110872944593023;1.3087412256476796;57761.27960545424;57759.97086422859;-0.026067862600029912;7310.365725990495;-0.365725990494866;7.688420449396818;-0.0004204493968185119;0.020892837153015268;57750.5695203269;57749.23471123865;-1.33480908825004
21;42;21;63;Sc;13070.0;700;7.603;11;18930;860;63;58697.19832812929;0.6995520718937199;0;0;478.989;7.580657490665109;477.5814219119019;0.022342509334890792;1.4075780880980915;58698.6108641105;58697.2032860224;-0.004957893106620759;13069.793769291302;0.20623070869805815;7.6030786967160005;-7.869671600069239e-05;0.020892837153015268;58687.90077898316;58686.48824300195;-1.4125359812096576
-5;29;34;63;Se;-16850.0;500;7.917;8;*;;62;58667.27873751781;0.50021233369764;0;0;498.771;7.9588033893578185;501.4046135295426;-0.04180338935781869;-2.633613529542572;58664.61716150069;58667.25077503023;0.02796248757658759;-16849.796842194202;-0.20315780579767306;7.916556150990858;0.0004438490091418501;0.06627320159001257;58647.30947037882;58649.97104639594;2.661576017118932
21;43;22;65;Ti;5210.0;700;7.726;11;17320;860;65;60552.326588322096;0.6995520718937199;0;0;502.19;7.704015138743152;500.7609840183049;0.021984861256847843;1.4290159816951018;60553.77979859231;60552.350782610614;-0.024194288518629037;5209.846522097028;0.15347790297164465;7.726372219823399;-0.0003722198233990781;0.02335285937035907;60542.561174536495;60541.10796426628;-1.4532102702141856
-5;30;35;65;Br;-16490.0;500;7.904;8;*;;64;60530.62650168185;0.50021233369764;0;0;513.76;7.95612345447267;517.1480245407236;-0.05212345447267008;-3.3880245407235634;60527.22224707772;60530.61027161844;0.016230063411057927;-16490.240118152702;0.2401181527020526;7.903750306716784;0.00024969328321589046;0.07105071077183776;60509.408334514344;60512.812589118475;3.4042546041309834
-4;31;35;66;Br;-23570.0;400;8.014;6;*;;65;61455.041250213566;0.39961097049587996;1;-1;528.924;8.0671311728829;532.4306574102715;-0.05313117288290137;-3.5066574102714867;61451.505036001974;61455.01169341225;0.029556801317085046;-23569.595306434676;-0.4046935653241235;8.013552169677;0.00044783032299910985;0.07105071077183776;61433.6911234386;61437.22733765019;3.5362142115918687
-5;31;36;67;Kr;-15552.0;424;7.883;6;*;;66;62394.553655178395;0.4238298171926;0;0;528.161;7.951482014022455;532.7492949395045;-0.06848201402245468;-4.588294939504522;62389.969473267156;62394.55776820666;-0.004113028262509033;-15551.29406160407;-0.7059383959294792;7.883061388481531;-6.138848153103282e-05;0.07602551897768679;62371.649536561294;62376.23371847253;4.584181911239284
-4;32;36;68;Kr;-25626.0;500;8.034;7;*;;67;63315.97271867256;0.50021233369764;-1;1;546.312;8.095083942174018;550.4657080678332;-0.061083942174017025;-4.153708067833236;63311.818481932634;63315.972190000466;0.0005286720916046761;-25626.334287444704;0.33428744470438687;8.033992225410389;7.774589612097316e-06;0.07602551897768679;63293.49854522677;63297.652781966695;4.154236739923363
23;48;25;73;Mn;-6700.0;600;7.895;8;17289;781;72;67992.36933447194;0.5998822027956799;0;0;576.3349999999999;7.826517489520138;571.3357767349701;0.06848251047986142;4.999223265029855;67997.38133922791;67992.38211596287;-0.012781490935594775;-6700.237088058791;0.23708805879141437;7.895175088917013;-0.00017508891701378815;0.031712363399773874;67984.63807782406;67979.62607306808;-5.012004755975795
24;50;26;76;Fe;-10590.0;600;7.943;8;15070;781;75;70782.9617262548;0.5998822027956799;-1;1;603.668;7.846142506134081;596.3068304661901;0.0968574938659188;7.361169533809857;70790.3242038787;70782.96303434488;-0.0013080900826025754;-10590.156465207745;0.1564652077449864;7.94301721171168;-1.7211711680786834e-05;0.034835114995858;70777.07306627576;70769.71058865185;-7.3624776239012135
24;51;27;78;Co;-15320.0;700;7.997;9;19560;806;77;72641.21980663612;0.6995520718937199;1;-1;623.766;7.8978423546604954;616.0317036635187;0.09915764533950444;7.734296336481293;72648.94782726957;72641.21353093309;0.0062757030245848;-15320.283523882314;0.28352388231360237;7.996919542268957;8.045773104292664e-05;0.038130760539189984;72635.18898636148;72627.46096572802;-7.728020633454435
25;53;28;81;Ni;-16090.0;700;8.0;9;15820;761;80;75434.93270366645;0.6995520718937199;0;0;648.0;7.911221570330465;640.8089471967677;0.08877842966953509;7.19105280323231;75442.08450211835;75434.89344931512;0.039254351329873316;-16089.697653558336;-0.302346441663758;7.999515378378644;0.00048462162135631814;0.041602102642343826;75427.81813360167;75420.66633514977;-7.1517984519014135
26;54;28;82;Ni;-10720.0;800;7.935;10;15010;894;81;76371.79687089438;0.80015343509548;-1;1;650.67;7.8491419565546625;643.6296404374823;0.0858580434453371;7.040359562517665;76378.82923067143;76371.78887110892;0.007999785462743603;-10719.63414561562;-0.36585438437941775;7.934902441640677;9.755835932256929e-05;0.041602102642343826;76364.56286215475;76357.5305023777;-7.032359777047532
25;54;29;83;Cu;-20390.0;500;8.044;6;15900;583;82;77293.62020282957;0.50021233369764;0;0;667.652;7.980618756243319;662.3913567681955;0.0633812437566812;5.260643231804579;77298.85058913515;77293.58994590334;0.030256926227593794;-20390.405930429937;0.40593042993714334;8.043635458720171;0.00036454127982921136;0.04525191164001009;77284.07687147678;77278.84648517119;-5.230386305585853
26;55;29;84;Cu;-13720.0;500;7.965;6;18110;640;83;78231.78473582631;0.50021233369764;1;-1;669.06;7.895709772895566;663.2396209232276;0.06929022710443355;5.820379076772383;78237.56774677392;78231.74736769714;0.03736812916758936;-13719.976653694355;-0.023346305644736276;7.964555141319406;0.0004448586805940735;0.04525191164001009;78222.79402911554;78217.01101816793;-5.783010947605362
26;56;30;86;Zn;-20062.0;500;8.032;6;13699;640;85;80088.43133140817;0.50021233369764;-1;1;690.752;7.987611744641599;686.9346100391775;0.04438825535840074;3.8173899608224247;80092.22125424618;80088.40386428536;0.027467122810776345;-20061.588511839487;-0.41148816051281756;8.031680614850957;0.00031938514904261694;0.04908293004112967;80076.94036865552;80073.1504458175;-3.7899228380119894
