N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass;bind_ene_n+2_exp;bind_ene_n-2_exp;delta_2n_exp;bind_ene_p+2_exp;bind_ene_p-2_exp;delta_2p_exp;bind_ene_n+2_teo;bind_ene_n-2_teo;delta_2n_teo;bind_ene_p+2_teo;bind_ene_p-2_teo;delta_2p_teo
0;8;8;16;O;-4737.00135;0.00016;7.976206;0.000;-15417.254;8.321;15;14899.168657662227;1.5835399763240002e-07;-1;1;127.619296;7.602330328250434;121.63728525200695;0.37387567174956615;5.982010747993058;14901.062805707992;14895.080794959998;4.087862702228449;13863583849.282671;-13863588586.284021;-13863465.054851232;0.002079299964760251;14896.976893402436;14890.994882654442;-5.982010747993627;139.807746;;;132.142626;;;139.1823500222865;;;129.37443839208953;;
1;9;8;17;O;-808.76348;0.00066;7.7507280000000005;0.000;-2760.465;0.248;16;15834.590999669563;6.52045872604e-07;0;0;131.76237600000002;7.580589289864586;128.87001792769797;0.17013871013541415;2.892358072302045;15833.395494972301;15830.503136899999;4.087862769563799;14733992751.246737;-14733993560.010216;-14733865.885497078;0.002079299964760251;15829.309582666745;15826.417224594443;-2.8923580723021587;143.763405;;;143.779517;;;142.23433437277987;;;142.37002265734742;;
-1;8;9;17;F;1951.702;0.248;7.542328;0.015;-14548.746;0.432;17;15837.351465082893;0.00024777743158952;0;0;128.21957600000002;7.302906751089354;124.14941476851902;0.23942124891064598;4.070161231480995;15836.82276562148;15832.75260439;4.59886069289314;14736564108.502777;-14736562156.800777;-14736438.536085628;0.0027553759588570008;15832.22653044123;15828.15636920975;-4.070161231480597;147.801342;;;131.819815;;;147.45396495160347;;;126.98250749001183;;
2;10;8;18;O;-782.8156;0.00071;7.767097;0.000;-1655.929;0.463;17;16766.111051275617;7.079355188272e-07;-1;1;139.807746;7.732352779015916;139.1823500222865;0.03474422098408336;0.6253959777135094;16762.648584817714;16762.02318884;4.087862435615534;15600766692.711006;-15600767475.526606;-15600631.755643127;0.002079299964760251;16758.56267251216;16757.937276534445;-0.6253959777131968;151.3714;127.619296;-0.6247960000000035;160.6448;;;148.75325105845616;121.63728525200695;-7.974163734109879;157.8438164943509;;
0;9;9;18;F;873.113;0.463;7.631638;0.026;-4444.501;0.589;18;16767.766979670767;0.00046295256954884;1;-1;137.369484;7.468147839978428;134.4266611196117;0.16349016002157146;2.9428228803882917;16766.110941210387;16763.16811833;4.598861340768053;15602309180.247272;-15602308307.134272;-15602175.536511904;0.0027553759588570008;16761.514706030135;16758.571883149747;-2.942822880388121;154.40268;;;145.96992;;;153.19278135580691;;;142.67118739568997;;
-2;8;10;18;Ne;5317.614;0.363;7.341257;0.020;-19720.374;93.882;18;16772.211480829446;0.00036328270045080005;-1;1;132.142626;7.18746879956053;129.37443839208953;0.15378820043946995;2.768187607910477;16769.86983142791;16767.10164382;5.109837009447801;15606449206.87056;-15606443889.25656;-15606316.8564677;0.0035444813290531753;16764.76338640234;16761.99519879443;-2.7681876079113863;160.6448;;;134.5605;127.619296;-2.1054560000000038;157.8438164943509;;;127.71006313822225;121.63728525200695;-9.401528393949846
3;11;8;19;O;3332.858;2.637;7.566495;0.139;4820.302;2.637;19;17701.720828638285;0.0026361283135276;0;0;143.763405;7.486017598567361;142.23433437277987;0.08047740143263837;1.5290706272201362;17699.16202240722;17697.63295178;4.0878768582842895;16471350189.603394;-16471346856.745394;-16471207.181217294;0.002079299964760251;17695.076110101665;17693.547039474444;-1.52907062722079;155.176854;131.76237600000002;-0.5875800000000027;167.405973;;;148.8311988793713;128.87001792769797;-6.767451938490467;166.02880955776823;;
1;10;9;19;F;-1487.4442;0.00086;7.779018;0.000;-3239.494;0.160;18;17696.900526318117;8.662895164596001e-07;0;0;147.801342;7.760734997452814;147.45396495160347;0.018283002547185845;0.34737704839653816;17692.649059318395;17692.30168227;4.598844048116007;16466860106.414011;-16466861593.858212;-16466718.39136042;0.0027553759588570008;17688.052824138143;17687.70544708975;-0.3473770483942644;162.504153;128.21957600000002;-4.878954999999991;163.076487;;;162.10784836639206;124.14941476851902;-8.65066676829585;160.59408245349977;;
-1;9;10;19;Ne;1752.05;0.160;7.567343;0.008;-11177.340;10.536;19;17700.14002073417;0.00015928549173612;0;0;143.779517;7.493159087228811;142.37002265734742;0.07418391277118896;1.4094943426525788;17696.43966910265;17695.03017476;5.10984597416973;16469877676.361597;-16469875924.311598;-16469737.254640516;0.0035444813290531753;17691.33322407708;17689.92372973443;-1.4094943426498503;167.405973;;;149.20565100000002;131.76237600000002;-6.591006999999962;166.02880955776823;;;145.80366705358668;128.87001792769797;-10.066360333410188
-3;8;11;19;Na;12929.39;10.535;6.9378850000000005;0.554;-18898.998;51.099;19;17711.31736220603;0.01053426681896948;0;0;131.819815;6.683289867895359;126.98250749001183;0.25459513210464113;4.837307509988179;17710.53385175999;17705.69654425;5.620817956030805;16480289304.037903;-16480276374.647903;-16480150.175649332;0.004451384507546654;17704.917314686903;17700.080007176915;-4.8373075099880225;163.076487;;;132.34199999999998;128.21957600000002;-3.0780540000000087;160.59408245349977;;;121.65756335802902;124.14941476851902;-8.158036853475608
