N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass
0;8;8;16;O;-4737.00135;0.00016;7.976206;0.000;-15417.254;8.321;15;14899.168657662227;1.5835399763240002e-07;-1;1;127.619296;8.062837943988749;129.00540710381998;-0.08663194398874818;-1.386111103819971;14897.782567524491;14899.16867862831;-2.0966082956874743e-05;-4737.001857773829;0.0005077738296677126;7.976207310380232;-1.3103802318781277e-06;0.002079299964760251;14893.696655218935;14895.08274535667;1.386090137735664
1;9;8;17;O;-808.76348;0.00066;7.7507280000000005;0.000;-2760.465;0.248;16;15834.590999669563;6.52045872604e-07;0;0;131.76237600000002;8.030178453410343;136.51303370797584;-0.2794504534103428;-4.750657707975819;15829.840362635896;15834.59102034387;-2.067430796159897e-05;-808.7635704367493;9.04367493603786e-05;7.750729216135797;-1.216135796511253e-06;0.002079299964760251;15825.75445033034;15830.505087364007;4.750637033666862
-1;8;9;17;F;1951.702;0.248;7.542328;0.015;-14548.746;0.432;17;15837.351465082893;0.00024777743158952;0;0;128.21957600000002;7.772913748368582;132.1395337222659;-0.2305857483685818;-3.9199577222658775;15833.431516019024;15837.35147374129;-8.658396836835891e-06;1951.7018428924632;0.00015710753677922185;7.542328509317432;-5.093174317849503e-07;0.0027553759588570008;15828.835280838774;15832.755229902643;3.9199490638693533
2;10;8;18;O;-782.8156;0.00071;7.767097;0.000;-1655.929;0.463;17;16766.111051275617;7.079355188272e-07;-1;1;139.807746;8.152992059934714;146.75385707882486;-0.3858950599347146;-6.946111078824856;16759.164960980605;16766.11107205943;-2.0783812942681834e-05;-782.8156843822135;8.438221345841157e-05;7.767098154656196;-1.1546561964337343e-06;0.002079299964760251;16755.07904867505;16762.02513897006;6.9460902950122545
0;9;9;18;F;873.113;0.463;7.631638;0.026;-4444.501;0.589;18;16767.766979670767;0.00046295256954884;1;-1;137.369484;7.914925544805537;142.46865980649966;-0.2832875448055372;-5.099175806499659;16762.66781165035;16767.76698745685;-7.78608227847144e-06;873.1127107683044;0.00028923169566041906;7.631638432560067;-4.3256006687641957e-07;0.0027553759588570008;16758.071576470098;16763.170744490515;5.0991680204169825
-2;8;10;18;Ne;5317.614;0.363;7.341257;0.020;-19720.374;93.882;18;16772.211480829446;0.0003632827004508;-1;1;132.142626;7.648173078968695;137.6671154214365;-0.3069160789686949;-5.524489421436499;16766.68700943283;16772.211498854267;-1.8024820747086778e-05;5317.6138694466945;0.00013055330509814667;7.341258001378971;-1.0013789717433497e-06;0.0035444813290531753;16761.58056440726;16767.105035803877;5.524471396616718
3;11;8;19;O;3332.858;2.637;7.566495;0.139;4820.302;2.637;19;17701.720828638285;0.0026361283135276;0;0;143.763405;7.912854807138361;150.34424133562885;-0.3463598071383611;-6.580836335628845;17695.13999843936;17701.720834774987;-6.1367027228698134e-06;3332.857958285639;4.171436103206361e-05;7.566495322984434;-3.229844338648036e-07;0.002079299964760251;17691.054086133805;17697.63491633273;6.58083019892365
1;10;9;19;F;-1487.4442;0.00086;7.779018;0.000;-3239.494;0.160;18;17696.900526318117;8.662895164596e-07;0;0;147.801342;8.169920482665972;155.22848917065346;-0.3909024826659726;-7.4271471706534555;17689.473404001754;17696.90055117241;-2.4854292860254645e-05;-1487.4443618821824;0.00016188218251045328;7.779019308120616;-1.3081206162723902e-06;0.0027553759588570008;17684.877168821502;17692.304291137865;7.4271223163632385
-1;9;10;19;Ne;1752.05;0.160;7.567343;0.008;-11177.340;10.536;19;17700.14002073417;0.00015928549173612;0;0;143.779517;7.922019271723147;150.5183661627398;-0.35467627172314664;-6.738849162739797;17693.401180407087;17700.14002956983;-8.835660992190242e-06;1752.0500541692493;-5.416924932433176e-05;7.567343465034738;-4.6503473782877336e-07;0.0035444813290531753;17688.294735381518;17695.0335757086;6.7388403270815616
-3;8;11;19;Na;12929.39;10.535;6.9378850000000005;0.554;-18898.998;51.099;19;17711.317362206028;0.010534266818969478;0;0;131.819815;7.169151174309887;136.21387231188785;-0.23126617430988627;-4.394057311887849;17706.92332765536;17711.31738496725;-2.2761221771361306e-05;12929.391526027925;-0.001526027925137896;6.937886197958984;-1.1979589835675597e-06;0.004451384507546654;17701.306790582275;17705.700825132943;4.394034550667129
4;12;8;20;O;3796.172;0.885;7.568569999999999;0.044;3813.635;0.885;20;18633.678246347547;0.0008849193985339999;-1;1;151.3714;7.851838831866478;157.03677663732955;-0.28326883186647844;-5.665376637329558;18628.01288485322;18633.67826149055;-1.5143003111006692e-05;3796.1719475461937;5.24538063473301e-05;7.568570757150155;-7.57150155905606e-07;0.002079299964760251;18623.926972547662;18629.59233404199;5.6653614943279536
2;11;9;20;F;-17.463;0.030;7.720134;0.002;7024.467;0.030;19;18629.86461074854;2.887631721532e-05;1;-1;154.40268;8.065461450473938;161.30922900947877;-0.3453274504739383;-6.906549009478766;18622.95808587849;18629.86463488797;-2.4139430024661124e-05;-17.463651458622877;0.0006514586228760777;7.720135206971463;-1.2069714632190198e-06;0.0027553759588570008;18618.36185069824;18625.26837556829;6.906524870049907
0;10;10;20;Ne;-7041.93055;0.00157;8.03224;0.000;-13892.535;1.114;19;18622.840143095822;1.5649100942495999e-06;-1;1;160.6448;8.277545201323367;165.55090402646732;-0.24530520132336697;-4.906104026467318;18617.934064258923;18622.84016828539;-2.5189568987116218e-05;-7041.931304179009;0.0007541790091636358;8.03224125947836;-1.2594783598274262e-06;0.0035444813290531753;18612.827619233354;18617.733698070253;4.906078836898814
-2;9;11;20;Na;6850.604;1.114;7.298496;0.056;-10627.088;2.171;20;18636.732678855245;0.0011131354539454;1;-1;145.96992;7.578064083203815;151.5612816640763;-0.27956808320381477;-5.591361664076288;18631.141340018734;18636.73270168281;-2.282756395288743e-05;6850.604455244261;-0.00045524426059273537;7.298497141378175;-1.1413781750846397e-06;0.004451384507546654;18625.52480294565;18631.11614178216;5.591338836511568
-4;8;12;20;Mg;17477.692;1.863;6.728025;0.093;*;;20;18647.359768130154;0.00186298820744;-1;1;134.5605;6.877044097326231;137.54088194652462;-0.14901909732623153;-2.9803819465246306;18644.379393133706;18647.35977508023;-6.9500747486017644e-06;17477.693730155173;-0.0017301551743003074;6.728025347503717;-3.4750371735725594e-07;0.00548057821903994;18638.252886303646;18641.233261300094;2.9803749964485178
5;13;8;21;O;8062.035;12.000;7.389374;0.571;8109.640;12.134;21;19569.43821301299;0.01199950704412104;0;0;155.176854;7.516050168181967;157.8370535318213;-0.1266761681819668;-2.66019953182132;19566.77802967429;19569.43822920611;-1.6193120245588943e-05;8062.034892988462;0.0001070115376933245;7.3893747711010205;-7.711010203692581e-07;0.002079299964760251;19562.692117368733;19565.352300707433;2.660183338699426
3;12;9;21;F;-47.605;1.800;7.738293;0.086;5684.171;1.800;20;19561.328573182334;0.00179964660838704;0;0;162.504153;8.105956399718863;170.22508439409614;-0.36766339971886364;-7.720931394096141;19553.607652209434;19561.32858360353;-1.0421194019727409e-05;-47.60493766545963;-6.233454036674857e-05;7.738293496247414;-4.962474147163221e-07;0.0027553759588570008;19549.01141702918;19556.732338002083;7.720920972900785
1;11;10;21;Ne;-5731.776;0.038;7.971712999999999;0.002;-3547.145;0.090;20;19555.644401479167;3.819125825252e-05;0;0;167.405973;8.281025829363745;173.90154241663865;-0.30931282936374593;-6.495569416638659;19549.14884758431;19555.64441700095;-1.5521782188443467e-05;-5731.776640834048;0.0006408340477719321;7.9717137391325235;-7.391325240746482e-07;0.0035444813290531753;19544.04240255874;19550.537956453598;6.49555389485613
-1;10;11;21;Na;-2184.631;0.098;7.765547;0.005;-13088.480;0.761;20;19559.191546861533;9.780688089059998e-05;0;0;163.076487;8.041258457116607;168.86642759944874;-0.27571145711660705;-5.789940599448755;19553.401615798917;19559.191556398368;-9.536834113532677e-06;-2184.631258467804;0.00025846780408755876;7.765547454134884;-4.54134884364521e-07;0.004451384507546654;19547.785078725832;19553.57500978845;5.789931062616233
6;14;8;22;O;9283.033;56.921;7.364871;2.587;6489.660;58.256;22;20502.153315478172;0.05692081019601804;-1;1;162.027162;7.360295432306183;161.92649951073602;0.004575567693817284;0.10066248926398202;20502.254005410934;20502.153342921672;-2.744350058492273e-05;9283.033638173449;-0.0006381734492606483;7.3648722474317765;-1.2474317765409637e-06;0.002079299964760251;20498.168093105378;20498.067403172616;-0.10068993276217952
