N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass
0;8;8;16;O;-4737.00217;0.00030;7.9762072;0.0002;-15412.1840;5.3642;15;14899.168657345519;2.9807811319040005e-07;-1;1;127.6193152;7.602330328250434;121.63728525200695;0.37387687174956596;5.982029947993055;14901.062805707992;14895.08077576;4.087881585519426;13863583848.98766;-13863588585.98983;-13863465.05455622;0.002079299964760251;14896.976893402436;14890.994863454443;-5.982029947992487
1;9;8;17;O;-808.76421;0.00064;7.750729099999999;0.0002;-2760.4655;0.2479;16;15834.590999026836;6.427309315668e-07;0;0;131.7623947;7.580589289864586;128.87001792769797;0.1701398101354128;2.892376772302015;15833.395494972301;15830.5031182;4.087880826835317;14733992750.648043;-14733993559.412252;-14733865.884898381;0.002079299964760251;15829.309582666745;15826.417205894444;-2.8923767723008496
-1;8;9;17;F;1951.701;0.248;7.542328400000001;0.0146;-14548.7507;0.4323;17;15837.351464151396;0.00024777743158952;0;0;128.2195828;7.302906751089354;124.14941476851902;0.2394216489106462;4.070168031480989;15836.82276562148;15832.752597589999;4.59886656139679;14736564107.635094;-14736562155.934093;-14736438.535217943;0.0027553759588570008;15832.22653044123;15828.156362409749;-4.070168031481444
2;10;8;18;O;-782.81634;0.00064;7.7670981;0.0002;-1655.9288;0.4633;17;16766.111050623575;6.427309315668e-07;-1;1;139.8077658;7.732352779015916;139.1823500222865;0.03474532098408378;0.6254157777134992;16762.648584817714;16762.02316904;4.0878815835749265;15600766692.103634;-15600767474.919973;-15600631.755035754;0.002079299964760251;16758.56267251216;16757.937256734444;-0.6254157777148066
0;9;9;18;F;873.112;0.463;7.6316383;0.0257;-4444.5049;0.5888;18;16767.766978739277;0.00046295256954884;1;-1;137.3694894;7.468147839978428;134.4266611196117;0.16349046002157142;2.9428282803882837;16766.110941210387;16763.168112929998;4.598865809279232;15602309179.379595;-15602308306.267595;-15602175.535644226;0.0027553759588570008;16761.514706030135;16758.571877749746;-2.9428282803892216
-2;8;10;18;Ne;5317.617;0.363;7.3412577;0.0202;-19720.3745;93.8819;18;16772.21148362393;0.00036328270045080005;-1;1;132.1426386;7.18746879956053;129.37443839208953;0.15378890043947013;2.7682002079104677;16769.86983142791;16767.10163122;5.109852403929835;15606449209.473604;-15606443891.856604;-15606316.859070744;0.0035444813290531753;16764.76338640234;16761.995186194432;-2.7682002079091035
3;11;8;19;O;3332.858;2.637;7.5664952;0.1388;4820.3029;2.6370;19;17701.720827706795;0.0026361283135276;0;0;143.7634088;7.486017598567361;142.23433437277987;0.08047760143263893;1.529074427220138;17699.16202240722;17697.63294798;4.087879726794199;16471350188.735718;-16471346855.877718;-16471207.180349616;0.002079299964760251;17695.076110101665;17693.547035674444;-1.5290744272206211
1;10;9;19;F;-1487.44512;0.00082;7.7790192;0.0002;-3239.4986;0.1601;18;17696.900525563608;8.197148112736e-07;0;0;147.8013648;7.760734997452814;147.45396495160347;0.018284202547185657;0.3473998483965204;17692.649059318395;17692.30165947;4.598866093609104;16466860105.71119;-16466861593.15631;-16466718.3906576;0.0027553759588570008;17688.052824138143;17687.705424289747;-0.34739984839688987
-1;9;10;19;Ne;1752.054;0.160;7.5673431;0.0084;-11177.3310;10.5364;19;17700.140023528653;0.00015928549173612;0;0;143.7795189;7.493159087228811;142.37002265734742;0.07418401277118924;1.4094962426525797;17696.43966910265;17695.03017286;5.109850668653962;16469877678.964643;-16469875926.910643;-16469737.25724356;0.0035444813290531753;17691.33322407708;17689.92372783443;-1.409496242649766
-3;8;11;19;Na;12929.384;10.535;6.9378864;0.5545;-18909.0095;60.9189;19;17711.317354754075;0.01053426681896948;0;0;131.8198416;6.683289867895359;126.98250749001183;0.2545965321046406;4.837334109988163;17710.53385175999;17705.696517649998;5.620837104077509;16480289297.096449;-16480276367.712448;-16480150.16870788;0.004451384507546654;17704.917314686903;17700.079980576913;-4.837334109990479
4;12;8;20;O;3796.172;0.885;7.5685707;0.0442;3813.6349;0.8854;20;18633.678245416057;0.0008849193985339999;-1;1;151.37141400000002;7.4376625529228075;148.75325105845616;0.1309081470771929;2.618162941543858;18632.208527661543;18629.59036472;4.087880696057255;17338531534.14629;-17338527737.97429;-17338380.454441972;0.002079299964760251;18628.122615355987;18625.504452414443;-2.618162941544142
2;11;9;20;F;-17.463;0.030;7.7201351;0.0015;7024.4689;0.0297;19;18629.864610748544;2.887631721532e-05;1;-1;154.402702;7.659639067790346;153.19278135580691;0.06049603220965416;1.2099206441930903;18626.475664854195;18625.265744210003;4.598866538541188;17334979155.939762;-17334979173.402763;-17334829.369567953;0.0027553759588570008;18621.879429673943;18620.66950902975;-1.2099206441926071
0;10;10;20;Ne;-7041.93217;0.00154;8.0322412;0.0002;-13892.4207;1.1090;19;18622.84014222022;1.536965271138e-06;-1;1;160.644824;7.892190824717545;157.8438164943509;0.14005037528245445;2.801007505649096;18620.53129720565;18617.7302897;5.109852520217828;17328435904.92386;-17328442946.85603;-17328287.41188456;0.0035444813290531753;18615.42485218008;18612.623844674432;-2.8010075056481583
-2;9;11;20;Na;6850.489;1.109;7.2985028000000005;0.0554;-10627.2054;2.1681;20;18636.73256241848;0.0011084779834268001;1;-1;145.970056;7.133559369784498;142.67118739568997;0.1649434302155024;3.29886860431003;18634.41059379431;18631.11172519;5.620837228481832;17341376612.424942;-17341369761.935944;-17341229.41271815;0.004451384507546654;18628.794056721224;18625.495188116915;-3.2988686043099733
