N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass;M_N_ws4;WS4_diff;bind_ene_total_;prediction_i3;difference_i3;prediction_i4;difference_i4
0;8;8;16;O;-4737.00217;0.0003;7.9762072;0.0002;-15412.1840;5.3642;15;14899.16865734552;2.9807811319040005e-07;-1;1;127.6193152;8.062837943988749;129.00540710381998;-0.0866307439887483;-1.386091903819974;14897.7825675543;14899.16865945812;-2.112599759129808e-06;-4737.002174480196;4.480196366785094e-06;7.976207332037461;-1.3203746096479565e-07;0.0020792999647602;14893.696655248745;14895.082745039965;1.3860897912200016;14895.453647214445;-0.3709021744798519;127.6193152;126.69331359863281;0.9260016013671901;130.4201202392578;-2.80080503925781
1;9;8;17;O;-808.76421;0.00064;7.750729099999999;0.0002;-2760.4655;0.2479;16;15834.590999026836;6.427309315667999e-07;0;0;131.7623947;8.030178453410343;136.51303370797584;-0.2794493534103441;-4.750639007975849;15829.840362668496;15834.591001676472;-2.6496363716432825e-06;-808.764213165252;3.165251996506413e-06;7.750729255860921;-1.558609215024376e-07;0.0020792999647602;15825.75445036294;15830.50508672128;4.7506363583397615;15830.299050934442;0.2060357868376741;131.7623947;132.03128051757812;-0.2688858175781377;131.77578735351562;-0.013392653515637676
-1;8;9;17;F;1951.701;0.248;7.542328400000001;0.0146;-14548.7507;0.4323;17;15837.351464151396;0.0002477774315895;0;0;128.2195828;7.772913748368582;132.1395337222659;-0.2305853483685815;-3.9199509222658833;15833.431516049764;15837.351466972028;-2.8206322895130143e-06;1951.700911394973;8.860502703100792e-05;7.542328565919568;-1.6591956697453725e-07;0.002755375958857;15828.835280869513;15832.755228971146;3.9199481016330537;15832.60812805975;0.1471009113956825;128.2195828;127.85366821289062;0.36591458710938696;128.15354919433594;0.06603360566407446
2;10;8;18;O;-782.81634;0.00064;7.7670981;0.0002;-1655.9288;0.4633;17;16766.11105062357;6.427309315667999e-07;-1;1;139.8077658;8.152992059934714;146.75385707882486;-0.3858939599347142;-6.946091278824866;16759.164961016002;16766.111052294826;-1.671254722168669e-06;-782.8163364297948;-3.570205194591836e-06;7.767098192847495;-9.284749502569413e-08;0.0020792999647602;16755.079048710446;16762.025138318015;6.946089607568865;16761.35265465444;0.6724836635730753;139.8077658;139.88067626953125;-0.07291046953125147;139.57611083984375;0.23165496015624853
0;9;9;18;F;873.112;0.463;7.6316383;0.0257;-4444.5049;0.5888;18;16767.766978739273;0.0004629525695488;1;-1;137.3694894;7.914925544805537;142.46865980649966;-0.2832872448055372;-5.099170406499667;16762.667811683885;16767.766982090383;-3.351109626237303e-06;873.1117792741236;0.0002207258763746;7.631638486172758;-1.861727580987349e-07;0.002755375958857;16758.071576503633;16763.17074355902;5.099167055388534;16762.223231779746;0.9475117792753736;137.3694894;137.66986083984375;-0.300371439843758;138.081787109375;-0.712297709375008
-2;8;10;18;Ne;5317.617;0.363;7.3412577;0.0202;-19720.3745;93.8819;18;16772.21148362393;0.0003632827004508;-1;1;132.1426386;7.648173078968695;137.6671154214365;-0.3069153789686947;-5.524476821436508;16766.687009464502;16772.21148628594;-2.662010956555605e-06;5317.616663929237;0.0003360707632964;7.341257847889413;-1.4788941271604017e-07;0.0035444813290531;16761.580564438933;16767.10503859836;5.524474159428792;16766.59772193443;0.5073166639303963;132.1426386;132.0515594482422;0.09107915175781045;132.20022583007812;-0.05758723007812705
3;11;8;19;O;3332.858;2.637;7.5664952;0.1388;4820.3029;2.637;19;17701.72082770679;0.0026361283135276;0;0;143.7634088;7.912854807138361;150.34424133562885;-0.3463596071383605;-6.580832535628844;17695.139998477553;17701.72083101318;-3.3063879527617246e-06;3332.8570267914583;0.0009732085418363;7.566495374020489;-1.740204886857555e-07;0.0020792999647602;17691.054086171996;17697.634915401235;6.580829229238589;17697.167858374443;0.4670570267917355;143.7634088;144.3389434814453;-0.5755346814453048;143.7034149169922;0.05999388300782016
1;10;9;19;F;-1487.44512;0.00082;7.7790192;0.0002;-3239.4986;0.1601;18;17696.900525563608;8.197148112735999e-07;0;0;147.8013648;8.169920482665972;155.22848917065346;-0.3909012826659728;-7.427124370653473;17689.473404038083;17696.900528408736;-2.8451286198105663e-06;-1487.4451163932963;-3.606703785408172e-06;7.779019349743689;-1.497436894482007e-07;0.002755375958857;17684.87716885783;17692.304290383356;7.427121525524853;17691.50713549975;0.7971548836067086;147.8013648;147.9195556640625;-0.11819086406251245;147.85743713378906;-0.056072333789074946
-1;9;10;19;Ne;1752.054;0.16;7.5673431;0.0084;-11177.3310;10.5364;19;17700.140023528653;0.0001592854917361;0;0;143.7795189;7.922019271723147;150.5183661627398;-0.3546761717231463;-6.738847262739796;17693.401180441553;17700.140027704296;-4.175642970949411e-06;1752.0528486517917;0.0011513482083955;7.567343319770627;-2.197706265860689e-07;0.0035444813290531;17688.294735415984;17695.033578503084;6.738843087099667;17694.225325654428;0.8082528486556839;143.7795189;143.57672119140625;0.20279770859374935;143.79443359375;-0.014914693750000652
-3;8;11;19;Na;12929.384;10.535;6.9378864;0.5545;-18909.0095;60.9189;19;17711.317354754075;0.0105342668189694;0;0;131.8198416;7.169151174309887;136.21387231188783;-0.2312647743098868;-4.394030711887865;17706.92332768796;17711.317358399847;-3.645771357696504e-06;12929.384074074476;-7.407447628793307e-05;6.937886591882776;-1.918827754465724e-07;0.0044513845075466;17701.306790614875;17705.70081768099;4.394027066115086;17705.863133606912;-0.1623159259215754;131.8198416;131.69639587402344;0.12344572597655201;131.928955078125;-0.10911347812501049
