N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass
-7;11;18;29;Ar;37969.0;439;6.276;15;*;;29;27051.29763904173;0.43873372285212;0;0;182.004;6.060552404058499;175.75601971769646;0.21544759594150076;6.24798028230353;27057.55897118708;27051.310990904778;-0.013351863046409562;37968.63116173076;0.36883826924167806;6.2764604090705935;-0.000460409070593748;0.014449546519146466;27048.37543962118;27042.11410747583;-6.261332145350025
-7;12;19;31;K;34260.0;300;6.487;10;*;;31;28910.57756845482;0.29994110139783997;0;0;201.097;6.304089036407807;195.426760128642;0.18291096359219328;5.670239871358007;28916.23672760468;28910.56648773332;0.011080721502366941;34260.35313482184;-0.35313482183846645;6.486642557370942;0.0003574426290580135;0.016444329755885077;28906.544191871322;28900.885032721464;-5.659159149858169
-7;13;20;33;Ca;31030.0;400;6.657;12;*;;33;30770.335354343115;0.39961097049587996;0;0;219.681;6.506604586980109;214.7179513703436;0.1503954130198908;4.963048629656413;30775.29403319151;30770.330984561853;0.0043697812616301235;31029.9315831161;0.06841688389977207;6.656867582386027;0.00013241761397342344;0.018591031013663304;30765.092645208722;30760.13396636033;-4.958678848393902
-7;14;21;35;Sc;27100.0;400;6.828;11;*;;35;32629.39358815952;0.39961097049587996;0;0;238.98000000000002;6.676391902298584;233.67371658045045;0.15160809770141626;5.3062834195495725;32634.686764809943;32629.380481390395;0.013106769125442952;27099.95795952227;0.042040477728733094;6.827625520882118;0.0003744791178821316;0.020892837153015268;32623.976679682608;32618.683503032185;-5.293176650422538
-7;15;22;37;Ti;25170.0;400;6.926;11;*;;37;34490.45173981661;0.39961097049587996;0;0;256.262;6.819679926134716;252.3281572669845;0.10632007386528386;3.9338427330154957;34494.38082095194;34490.446978218926;0.004761597687320318;25169.902176616015;0.09782338398508728;6.925871308170679;0.00012869182932107037;0.02335285937035907;34483.162196896126;34479.2331157608;-3.9290811353275785
16;27;11;38;Na;61905.0;715;6.216;19;27831;875;38;35458.68117650502;0.71538747165696;1;-1;236.208;5.595574375598163;212.6318262727302;0.6204256244018369;23.576173727269804;35482.24838629016;35458.67221256289;0.008963942134869285;61905.235145021186;-0.23514502118632663;6.21576410678589;0.0002358932141097725;0.004451384507546654;35476.631849217076;35453.06463943194;-23.567209785134764
17;28;11;39;Na;69977.0;743;6.056;19;27201;903;39;36398.24667663375;0.7424008006648399;0;0;236.184;5.41724275118292;211.2724672961339;0.6387572488170798;24.9115327038661;36423.17316698231;36398.261634278446;-0.014957644692913163;69976.63155375553;0.3684462444653036;6.056383529351129;-0.0003835293511285087;0.004451384507546654;36417.55662990923;36392.63013956067;-24.926490348560037
-7;16;23;39;V;22570.0;400;7.031;10;*;;39;36350.84014721313;0.39961097049587996;0;0;274.209;6.941231184444821;270.70801619334804;0.08976881555517835;3.500983806651959;36354.34945885413;36350.848475047474;-0.008327834344527218;22570.102133131644;-0.10213313164422289;7.031213534214028;-0.00021353421402814377;0.025974141262878874;36342.622457129524;36339.113145488525;-3.5093116409989307
17;29;12;41;Mg;58100.0;500;6.425;12;23510;640;41;38249.35833425133;0.50021233369764;0;0;263.425;5.85009143151421;239.8537486920826;0.5749085684857898;23.571251307917407;38272.940382414905;38249.369131106985;-0.010796855654916726;58100.0817313284;-0.08173132839874597;6.425263337942874;-0.00026333794287403123;0.00548057821903994;38266.81387558485;38243.231827421274;-23.582048163574655
-7;17;24;41;Cr;20410.0;400;7.116;10;*;;41;38211.668219826606;0.39961097049587996;0;0;291.756;7.044744956665361;288.8345432232798;0.07125504333463883;2.921456776720163;38214.57142865273;38211.64997187601;0.01824795059656026;20409.967306605005;0.032693394994566916;7.1155549280342605;0.0004450719657391744;0.028759666096020087;38202.33621350226;38199.43300467614;-2.9032088261228637
-7;18;25;43;Mn;17370.0;400;7.213;9;*;;43;40071.616030512065;0.39961097049587996;0;0;310.159;7.133135522925074;306.7248274857782;0.07986447707492594;3.434172514221814;40075.029641218774;40071.59546870455;0.020561807512422092;17369.570552061534;0.4294479384661827;7.212521818429935;0.00047818157006496165;0.031712363399773874;40062.28637981493;40058.87276910822;-3.4136107067097328
18;35;17;52;Cl;22360.0;700;7.386;13;23739;922;52;48460.052977905696;0.6995520718937199;1;-1;384.072;7.08390645869706;368.3631358522471;0.3020935413029404;15.708864147752877;48475.73890111299;48460.03003696524;0.022940940456464887;22359.58446569294;0.4155343070597155;7.385558828068147;0.00044117193185311265;0.012603409759019047;48467.06452236102;48451.37859915372;-15.685923207296582
18;36;18;54;Ar;12560.0;800;7.578;15;17710;894;54;50313.241867374556;0.80015343509548;-1;1;409.212;7.3381131710956975;396.25811123916765;0.2398868289043028;12.953888760832342;50326.19242255461;50313.23853379378;0.003333580774778966;12560.266494558873;-0.2664945588730916;7.577938267022681;6.17329773193731e-05;0.014449546519146466;50317.00889098871;50304.05833580866;-12.950555180053925
19;38;19;57;K;14130.0;600;7.563;11;20689;721;57;53109.29374609933;0.5998822027956799;0;0;431.091;7.348683462869143;418.8749573835412;0.2143165371308564;12.216042616458822;53121.48949495434;53109.273452337875;0.020293761452194303;14129.834059328876;0.16594067112418998;7.562643969097336;0.0003560309026635622;0.016444329755885077;53111.796959220985;53099.601210365974;-12.195748855010606
20;39;19;58;K;21930.0;700;7.437;12;23461;860;58;54048.588181443876;0.6995520718937199;1;-1;431.346;7.192183078645017;417.14661856141095;0.24481692135498356;14.199381438589057;54062.783255492024;54048.58387405344;0.004307390438043512;21930.165683876738;-0.165683876737603;7.4369257346475806;7.426535241972232e-05;0.016444329755885077;54053.09071975867;54038.89564571052;-14.195074048147944
21;40;19;59;K;28750.0;800;7.332;14;22940;1000;59;54986.90175349721;0.80015343509548;0;0;432.58799999999997;7.088700657587138;418.2333387976411;0.243299342412862;14.354661202358841;55001.26195697136;54986.90729576899;-0.005542271785088815;28749.634017208497;0.3659827915034839;7.332093936809974;-9.393680997415998e-05;0.016444329755885077;54991.569421238004;54977.209217763855;-14.360203474148875
19;39;20;59;Ca;5810.0;600;7.708;10;16639;650;59;54963.9618482049;0.5998822027956799;0;0;454.772;7.505486118202403;442.82368097394175;0.20251388179759733;11.948319026058243;54975.88926819247;54963.94094916641;0.020899038485367782;5809.728724900443;0.2712750995569877;7.707645779008676;0.00035422099132453866;0.018591031013663304;54965.68788020968;54953.76046022211;-11.927419987572648
