N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
0;8;8;16;O;-4737.00135;0.00016;7976.206;0.000;-15417.254;8.321;15;994914.61960;0.00017;-1;7664.955492946477;311.2505070535235
1;9;8;17;O;-808.76348;0.00066;7750.728;0.000;-2760.465;0.248;16;999131.75664;0.00070;0;7636.319966152491;114.4080338475087
-1;8;9;17;F;1951.702;0.248;7542.328;0.015;-14548.746;0.432;17;002095.238;0.266;0;7379.6386277888305;162.68937221116994
2;10;8;18;O;-782.81560;0.00071;7767.097;0.000;-1655.929;0.463;17;999159.61284;0.00076;-1;7782.061632964863;-14.964632964863085
0;9;9;18;F;873.113;0.463;7631.638;0.026;-4444.501;0.589;18;000937.325;0.497;1;7537.31683605078;94.32116394922014
-2;8;10;18;Ne;5317.614;0.363;7341.257;0.020;-19720.374;93.882;18;005708.693;0.390;-1;7278.387366241396;62.86963375860341
3;11;8;19;O;3332.858;2.637;7566.495;0.139;4820.302;2.637;19;003577.970;2.830;0;7530.426460027025;36.06853997297458
1;10;9;19;F;-1487.44420;0.00086;7779.018;0.000;-3239.494;0.160;18;998403.16288;0.00093;0;7823.250499453951;-44.23249945395128
-1;9;10;19;Ne;1752.050;0.160;7567.343;0.008;-11177.340;10.536;19;001880.903;0.171;0;7575.911422776303;-8.568422776303123
-3;8;11;19;Na;12929.390;10.535;6937.885;0.554;-18898.998;51.099;19;013880.272;11.309;0;6788.409229994082;149.4757700059181
4;12;8;20;O;3796.172;0.885;7568.57;0.044;3813.635;0.885;20;004075.358;0.950;-1;7477.374711715231;91.19528828476905
2;11;9;20;F;-17.463;0.030;7720.134;0.002;7024.467;0.030;19;999981.252;0.031;1;7716.260931161531;3.8730688384694076
0;10;10;20;Ne;-7041.93055;0.00157;8032.24;0.000;-13892.535;1.114;19;992440.17619;0.00168;-1;7967.711769676754;64.52823032324613
-2;9;11;20;Na;6850.604;1.114;7298.496;0.056;-10627.088;2.171;20;007354.426;1.195;1;7229.968773340998;68.52722665900183
-4;8;12;20;Mg;17477.692;1.863;6728.025;0.093;*;;20;018763.075;2.000;-1;6504.790396074169;223.23460392583092
5;13;8;21;O;8062.035;12.000;7389.374;0.571;8109.640;12.134;21;008654.950;12.882;0;7122.724330828628;266.6496691713719
3;12;9;21;F;-47.605;1.800;7738.293;0.086;5684.171;1.800;20;999948.894;1.932;0;7770.790420407659;-32.497420407659774
1;11;10;21;Ne;-5731.776;0.038;7971.713;0.002;-3547.145;0.090;20;993846.685;0.041;0;7975.211624166857;-3.498624166857553
-1;10;11;21;Na;-2184.631;0.098;7765.547;0.005;-13088.480;0.761;20;997654.702;0.105;0;7735.987942106222;29.559057893777208
-3;9;12;21;Mg;10903.850;0.755;7105.031;0.036;-16086;596;21;011705.764;0.810;0;7053.11937422575;51.91162577424984
-5;8;13;21;Al;26990;596;6302.0;28;*;;21;028975;640;0;5926.605920525448;375.3940794745522
6;14;8;22;O;9283.033;56.921;7364.871;2.587;6489.660;58.256;22;009965.746;61.107;-1;6966.745912656091;398.1250873439094
4;13;9;22;F;2793.373;12.399;7624.295;0.564;10818.092;12.399;22;002998.809;13.310;1;7526.336212436461;97.95878756353886
2;12;10;22;Ne;-8024.719;0.018;8080.465;0.001;-2843.207;0.171;21;991385.109;0.018;-1;8115.196648204803;-34.731648204802696
0;11;11;22;Na;-5181.511;0.171;7915.667;0.008;-4781.578;0.321;21;994437.418;0.183;1;7865.018847894627;50.64815210537381
-2;10;12;22;Mg;-399.933;0.313;7662.761;0.014;-18601;401;21;999570.654;0.335;-1;7644.1111835724205;18.649816427579935
-4;9;13;22;Al;18201;401;6782.0;18;-15137;643;22;019540;430;1;6584.165283171699;197.83471682830077
-6;8;14;22;Si;33338;503;6058.0;23;*;;22;035790;540;-1;5553.489518758945;504.51048124105455
7;15;8;23;O;14621.369;121.712;7163.485;5.292;11336.106;126.190;23;015696.686;130.663;0;6570.35628942425;593.1287105757501
5;14;9;23;F;3285.263;33.320;7622.344;1.449;8439.312;33.321;23;003526.874;35.770;0;7451.372091205364;170.97190879463597
3;13;10;23;Ne;-5154.049;0.104;7955.256;0.005;4375.804;0.104;22;994466.900;0.112;0;7961.356503937709;-6.100503937708709
1;12;11;23;Na;-9529.85248;0.00181;8111.493;0.000;-4056.340;0.158;22;989769.28199;0.00194;0;8100.309527621284;11.183472378716033
