N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
0;8;8;16;O;-4737.00217;0.00030;7976.2072;0.0002;-15412.1840;5.3642;994914.61926;0.00032;-1;7664.955492946477;311.2517070535232
1;9;8;17;O;-808.76421;0.00064;7750.7291;0.0002;-2760.4655;0.2479;999131.75595;0.00069;0;7636.319966152491;114.4091338475082
-1;8;9;17;F;1951.701;0.248;7542.3284;0.0146;-14548.7507;0.4323;002095.237;0.266;0;7379.6386277888305;162.68977221116984
2;10;8;18;O;-782.81634;0.00064;7767.0981;0.0002;-1655.9288;0.4633;999159.61214;0.00069;-1;7782.061632964863;-14.96353296486268
0;9;9;18;F;873.112;0.463;7631.6383;0.0257;-4444.5049;0.5888;000937.324;0.497;1;7537.31683605078;94.32146394921983
-2;8;10;18;Ne;5317.617;0.363;7341.2577;0.0202;-19720.3745;93.8819;005708.696;0.390;-1;7278.387366241396;62.87033375860392
3;11;8;19;O;3332.858;2.637;7566.4952;0.1388;4820.3029;2.6370;003577.969;2.830;0;7530.426460027025;36.06873997297498
1;10;9;19;F;-1487.44512;0.00082;7779.0192;0.0002;-3239.4986;0.1601;998403.16207;0.00088;0;7823.250499453951;-44.23129945395158
-1;9;10;19;Ne;1752.054;0.160;7567.3431;0.0084;-11177.3310;10.5364;001880.906;0.171;0;7575.911422776303;-8.56832277630292
-3;8;11;19;Na;12929.384;10.535;6937.8864;0.5545;-18909.0095;60.9189;013880.264;11.309;0;6788.409229994082;149.4771700059182
4;12;8;20;O;3796.172;0.885;7568.5707;0.0442;3813.6349;0.8854;004075.357;0.950;-1;7477.374711715231;91.19598828476956
2;11;9;20;F;-17.463;0.030;7720.1351;0.0015;7024.4689;0.0297;999981.252;0.031;1;7716.260931161531;3.8741688384698136
0;10;10;20;Ne;-7041.93217;0.00154;8032.2412;0.0002;-13892.4207;1.1090;992440.17525;0.00165;-1;7967.711769676754;64.52943032324674
-2;9;11;20;Na;6850.489;1.109;7298.5028;0.0554;-10627.2054;2.1681;007354.301;1.190;1;7229.968773340998;68.53402665900194
-4;8;12;20;Mg;17477.694;1.863;6728.0252;0.0931;*;;018763.075;2.000;-1;6504.790396074169;223.23480392583133
5;13;8;21;O;8062.034;12.000;7389.3747;0.5714;8109.6390;12.1342;008654.948;12.882;0;7122.724330828628;266.6503691713724
3;12;9;21;F;-47.605;1.800;7738.2934;0.0857;5684.1712;1.8004;999948.893;1.932;0;7770.790420407659;-32.497020407659875
1;11;10;21;Ne;-5731.776;0.038;7971.7136;0.0018;-3546.9190;0.0177;993846.685;0.041;0;7975.211624166857;-3.498024166857249
-1;10;11;21;Na;-2184.857;0.042;7765.5581;0.0020;-13088.7080;0.7557;997654.459;0.045;0;7735.987942106222;29.570157893777832
-3;9;12;21;Mg;10903.851;0.755;7105.0317;0.0359;-16186;600;011705.764;0.810;0;7053.11937422575;51.91232577424944
-5;8;13;21;Al;27090;600;6297.0;29;*;;029082;644;0;5926.605920525448;370.3940794745522
6;14;8;22;O;9283.032;56.921;7364.8722;2.5873;6489.6562;58.2558;009965.744;61.107;-1;6966.745912656091;398.1262873439091
4;13;9;22;F;2793.376;12.399;7624.2954;0.5636;10818.0916;12.3990;002998.812;13.310;1;7526.336212436461;97.95918756353876
2;12;10;22;Ne;-8024.716;0.018;8080.4656;0.0008;-2843.3243;0.1325;991385.113;0.018;-1;8115.196648204803;-34.73104820480239
0;11;11;22;Na;-5181.391;0.132;7915.6624;0.0060;-4781.4051;0.1631;994437.547;0.141;1;7865.018847894627;50.6435521053736
-2;10;12;22;Mg;-399.986;0.159;7662.7645;0.0072;-18601;401;999570.597;0.170;-1;7644.1111835724205;18.65331642757974
-4;9;13;22;Al;18201;401;6782.0;18;-15439;641;019540;430;1;6584.165283171699;197.83471682830077
-6;8;14;22;Si;33640;500;6044.0;23;*;;036114;537;-1;5553.489518758945;490.51048124105455
7;15;8;23;O;14621.371;121.712;7163.4856;5.2918;11336.1072;126.1904;015696.686;130.663;0;6570.35628942425;593.1293105757504
5;14;9;23;F;3285.263;33.320;7622.3447;1.4487;8439.3084;33.3206;003526.875;35.770;0;7451.372091205364;170.97260879463556
3;13;10;23;Ne;-5154.045;0.104;7955.2561;0.0045;4375.8085;0.1044;994466.905;0.112;0;7961.356503937709;-6.100403937709416
1;12;11;23;Na;-9529.85352;0.00181;8111.4936;0.0002;-4056.1790;0.0317;989769.28195;0.00194;0;8100.309527621284;11.184072378715427
-1;11;12;23;Mg;-5473.675;0.032;7901.1229;0.0014;-12221.7457;0.3461;994123.768;0.034;0;7868.231162256092;32.89173774390838
-3;10;13;23;Al;6748.071;0.345;7335.7275;0.0150;-17202;500;007244.351;0.370;0;7265.12140784213;70.60609215787008
-5;9;14;23;Si;23950;500;6554.0;22;*;;025711;537;0;6290.980264379398;263.01973562060175
8;16;8;24;O;18500.404;164.874;7039.6855;6.8698;10955.8885;191.6327;019861.000;177.000;-1;6363.0665749269265;676.6189250730731
6;15;9;24;F;7544.516;97.670;7463.5831;4.0696;13496.1583;97.6717;008099.370;104.853;1;7138.255285942108;325.3278140578923
4;14;10;24;Ne;-5951.642;0.513;7993.3252;0.0214;2466.2583;0.5130;993610.649;0.550;-1;7953.186077456696;40.13912254330444
